ISO_A2,number
ao,1
bi,4
bw,10
cd,5
cf,1
cg,6
ci,2
cm,1
dj,3
gh,27
ke,20
ls,1
mg,5
ml,2
mw,40
mz,4
na,1
ng,29
rw,22
sl,6
sn,5
so,10
st,1
ug,10
zm,30
zw,15
